title,subject,year_group,key_stage,unit,learning_objective,oak_url
Creating a dynamic slam poetry performance,English,Year 9,ks3,,I can understand how physicality can add to the confident delivery of a slam poem. I can be an effective audience member and provide feedback.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/creating-and-performing-slam-poetry/lessons/creating-a-dynamic-slam-poetry-performance
Creating comparative analytical paragraphs,English,Year 9,ks3,,I can write comparative paragraphs exploring the presentation of exploration and survival.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/womens-rights-across-the-ages-non-fiction-reading-and-writing/lessons/creating-comparative-analytical-paragraphs
Creating layered language analysis,English,Year 9,ks3,,I can find the best words in a text to create a layered analysis.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/womens-rights-across-the-ages-non-fiction-reading-and-writing/lessons/creating-layered-language-analysis
Creative writing in the third person inspired by Katherine Mansfield's 'The Fly',English,Year 9,ks3,,"I can rewrite two paragraphs of Katherine Mansfield's short story 'The Fly' (1922) shifting the focus from the boss to the character of Macey, the boss's employee.",https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/a-world-at-war-short-stories/lessons/the-fly-by-katherine-mansfield-the-character-of-macey
Debating different interpretations of Katherine Mansfield’s ‘The Fly’,English,Year 9,ks3,,"I can present a convincing argument about how to interpret Katherine Mansfield’s short story, ‘The Fly’ (1922).",https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/a-world-at-war-short-stories/lessons/debating-different-interpretations-of-katherine-mansfields-the-fly
Describing setting and developing tone,English,Year 9,ks3,,I can understand and apply how writers use setting and tone to reflect their characters.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/malevolent-characters-descriptive-and-narrative-writing/lessons/describing-setting-and-developing-tone
Developing a viewpoint using structural features,English,Year 9,ks3,,I can use structural features to develop my ideas and create an interesting speech.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/womens-rights-across-the-ages-non-fiction-reading-and-writing/lessons/developing-a-viewpoint-using-structural-features
Developing analytical responses,English,Year 9,ks3,,I can effectively develop my analytical writing leading with ‘big ideas’ and using tentative phrases and superlatives.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/womens-rights-across-the-ages-non-fiction-reading-and-writing/lessons/developing-analytical-responses
Discussing historical and societal attitudes,English,Year 9,ks3,,I can explore and discuss historical and societal attitudes effectively.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/womens-rights-across-the-ages-non-fiction-reading-and-writing/lessons/discussing-historical-and-societal-attitudes
Essay writing: using context in responses to ‘Small Island’,English,Year 9,ks3,,I can understand how context is used in a written response.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/small-island/lessons/an-analytical-response-to-colonial-attitudes-in-small-island
Exploration of the theme of appearances and reality in 'Othello',English,Year 9,ks3,,I can confidently explore the theme of appearance vs reality in ‘Othello’.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/othello/lessons/exploration-of-the-theme-of-appearances-and-reality-in-othello
Exploration of the theme of jealousy in 'Othello',English,Year 9,ks3,,I can identify a variety of evidence to explore the theme of jealousy in ‘Othello’ and how it contributes to Othello's downfall.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/othello/lessons/exploration-of-the-theme-of-jealousy-in-othello
Exploration of the theme of race in 'Othello',English,Year 9,ks3,,I can evaluate the significance of race in the play ‘Othello’.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/othello/lessons/exploration-of-the-theme-of-race-in-othello
Exploring 'Small Island' and the Windrush context,English,Year 9,ks3,,I can understand the experiences of Caribbean people in Britain and how Levy shows their stories.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/small-island/lessons/a-migrants-story
"Exploring Act 1, Scene 1 of ‘Othello’",English,Year 9,ks3,,I can explore how an audience might respond to the character of Iago in the opening scene.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/othello/lessons/act-1-scene-1-exploration
"Exploring Act 1, Scene 3 of ‘Othello’",English,Year 9,ks3,,"I can explore how Othello's character is established in Act 1, Scene 3.",https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/othello/lessons/act-1-scene-3-exploration
"Exploring Act 2, Scene 1 of Othello",English,Year 9,ks3,,I can explain how the symbolic storm reflects the structure and key elements of the tragedy.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/othello/lessons/act-2-scene-1-exploration
"Exploring Act 3, Scene 3 of ‘Othello’",English,Year 9,ks3,,"I can explore the theme of temptation in Act 3, Scene 3.",https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/othello/lessons/act-3-scene-3-exploration-of-the-temptation
Exploring Act 4 Scene 1 of 'Othello',English,Year 9,ks3,,"I can explore the changes in Othello's character in Act 4, Scene 1.",https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/othello/lessons/act-4-scene-1-exploration
"Exploring Act 5, Scene 1 of ‘Othello’",English,Year 9,ks3,,I can explore the intensifying characterisations of Iago in Act 5 Scene 1.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/othello/lessons/act-5-scene-1-exploration
"Exploring Act 5, Scene 2 of ‘Othello’",English,Year 9,ks3,,"I can explore how the character of Othello changes by Act 5, Scene 2 of ‘Othello’.",https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/othello/lessons/act-5-scene-2-exploration
Exploring Golding's message about human behaviour in 'Lord of the Flies',English,Year 9,ks3,,I can clearly explain the purpose of Golding's novel and his message about human behaviour.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/lord-of-the-flies/lessons/goldings-message-about-human-behaviour
Exploring Iago from ‘Othello’ as a Machiavellian villain,English,Year 9,ks3,,I can evaluate Iago's presentation as a Machiavellian villain.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/othello/lessons/iago-as-a-machiavellian-villain
Exploring Othello as a tragic hero,English,Year 9,ks3,,I can explore the ways in which Othello is a tragic hero.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/othello/lessons/othello-as-a-tragic-hero
Exploring Simon's role as an outsider and as Jack's foil in 'Lord of the Flies',English,Year 9,ks3,,I can explain what Simon represents in 'Lord of the Flies'.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/lord-of-the-flies/lessons/the-role-of-simon-in-lord-of-the-flies
Exploring a non-fiction text with multiple perspectives,English,Year 9,ks3,,I can identify different voices and perspectives within a text.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/womens-rights-across-the-ages-non-fiction-reading-and-writing/lessons/exploring-texts-with-multiple-perspectives
Exploring and evaluating the importance of Act 1,English,Year 9,ks3,,I can explain the structure of Act 1 and offer a personal perspective on key themes.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/small-island/lessons/the-importance-of-act-1
Exploring autobiographical texts,English,Year 9,ks3,,I can identify and explain how personal texts use language features to create effects.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/womens-rights-across-the-ages-non-fiction-reading-and-writing/lessons/exploring-texts-about-personal-experiences
Exploring historical attitudes and perspectives in non-fiction texts,English,Year 9,ks3,,I can identify and explain how dominant viewpoints and ideas are presented in non-fiction text.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/womens-rights-across-the-ages-non-fiction-reading-and-writing/lessons/exploring-societal-views-of-women
Exploring historical perspectives of men,English,Year 9,ks3,,I can explore the historical expectations of men and use modal verbs to create meaning.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/womens-rights-across-the-ages-non-fiction-reading-and-writing/lessons/exploring-historical-perspectives-of-men
Exploring motifs in 'Othello',English,Year 9,ks3,,I can identify and analyse the motifs in the play 'Othello'.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/othello/lessons/motifs-in-othello
"Exploring structure, allegory and genre in Golding's 'Lord of the Flies'",English,Year 9,ks3,,I can explain how Golding structures the text and subverts the traditional adventure novel genre.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/lord-of-the-flies/lessons/structure-allegory-and-genre-in-lord-of-the-flies
Exploring the characterisation of Desdemona in ‘Othello’,English,Year 9,ks3,,"I can explore how Desdemona is characterised, in relation to the role of Jacobean women.",https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/othello/lessons/exploration-of-the-characterisation-of-desdemona
Exploring the presentation of the boss in 'The Fly' by Katherine Mansfield,English,Year 9,ks3,,"I can explain how Katherine Mansfield presents the character of the boss in her short story, ‘The Fly’, in clear and well developed analytical paragraphs.",https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/a-world-at-war-short-stories/lessons/exploring-the-presentation-of-the-boss-in-the-fly-by-katherine-mansfield
Golding's use of setting in 'Lord of the Flies',English,Year 9,ks3,,I can explain how the settings represent the characters.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/lord-of-the-flies/lessons/goldings-use-of-setting-in-lord-of-the-flies
Golding's use of symbolism in 'Lord of the Flies',English,Year 9,ks3,,I can explain the symbolism of the conch and Jack's face paint in the novel.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/lord-of-the-flies/lessons/goldings-use-of-symbolism-in-lord-of-the-flies
Helen Edmundson on adapting 'Small Island' for the stage,English,Year 9,ks3,,I can use Helen Edmundson’s comments to explore the processes and challenges of adapting a novel for the stage.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/small-island/lessons/helen-edmundson-on-adapting-small-island-for-the-stage
"Helen Edmundson on the context, characters and themes of 'Small Island'",English,Year 9,ks3,,"I can use Helen Edmundson’s comments on context, characters and themes to deepen my personal response.",https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/small-island/lessons/helen-edmundson-on-the-context-characters-and-themes-of-small-island
How Armitage writes about personal events and memories in 'Harmonium',English,Year 9,ks3,,I can respond to how Armitage writes about personal events and memories in ‘Harmonium’.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/simon-armitage-writing-your-world/lessons/how-armitage-writes-about-personal-events-and-memories-in-harmonium
How Simon Armitage writes about climate change in 'Futurama',English,Year 9,ks3,,I can respond to how Armitage presents ideas of the future and climate change in ‘Futurama’.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/simon-armitage-writing-your-world/lessons/how-simon-armitage-writes-about-climate-change-in-futurama
How Simon Armitage writes about hope in 'We'll Sing' and 'Only Human',English,Year 9,ks3,,I can respond to how Armitage writes about hope in ‘We’ll Sing’ and ‘Only Human’.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/simon-armitage-writing-your-world/lessons/how-simon-armitage-writes-about-hope-in-well-sing-and-only-human
How Simon Armitage writes about human connection in 'All Right?' and 'Give',English,Year 9,ks3,,I can respond to how Armitage writes about human connection in ‘Give’ and ‘All Right?’.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/simon-armitage-writing-your-world/lessons/how-simon-armitage-writes-about-human-connection-in-all-right-and-give
How Simon Armitage writes about life in 'About his person' and 'Poem',English,Year 9,ks3,,I can listen and respond to Simon Armitage talking about ‘About his person’ and ‘Poem’.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/simon-armitage-writing-your-world/lessons/how-simon-armitage-writes-about-life-in-about-his-person-and-poem
How Simon Armitage writes about news and media in 'Transmission Report',English,Year 9,ks3,,I can respond to how Simon Armitage writes about news and media in ‘Transmission Report’.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/simon-armitage-writing-your-world/lessons/how-simon-armitage-writes-about-news-and-media-in-transmission-report
How Simon Armitage writes about the world in 'Resistance' and 'Out of the Blue',English,Year 9,ks3,,I can respond to how Armitage writes about the world in ‘Resistance’ and ‘Out of the Blue’.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/simon-armitage-writing-your-world/lessons/how-simon-armitage-writes-about-the-world-in-resistance-and-out-of-the-blue
Ian Beck's ‘Propping Up The Line’: Alice’s experiences on the Home Front,English,Year 9,ks3,,I can rewrite a passage of Ian Beck's ‘Propping Up The Line’ from the perspective of the character of Alice.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/a-world-at-war-short-stories/lessons/propping-up-the-line-alices-experiences-on-the-home-front
Identifying and analysing a writer’s perspective,English,Year 9,ks3,,I can identify a writer's perspective and how this is presented through language choices.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/womens-rights-across-the-ages-non-fiction-reading-and-writing/lessons/freedom-or-death-identifying-a-writers-perspective
Identifying and exploring complex ideas in a text,English,Year 9,ks3,,I can identify and explore complex ideas in a text.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/womens-rights-across-the-ages-non-fiction-reading-and-writing/lessons/identifying-and-exploring-complex-ideas-in-a-text
Improving a letter: deliberate verbs and precise adjectives,English,Year 9,ks3,,I can improve a letter which recounts an imagined experience from the British home front during World War One by paying close attention to my choice of verbs and adjectives.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/a-world-at-war-short-stories/lessons/refining-a-letter-deliberate-verbs-and-precise-adjectives
Improving the style of a letter: sentence structure and rhythm,English,Year 9,ks3,,I can improve a letter which recounts an imagined experience in the trenches by using a range of sentence lengths and fronted adverbials.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/a-world-at-war-short-stories/lessons/refining-a-recount-letter-rhythm-and-tension
Introduction to 'Othello' and plot exploration,English,Year 9,ks3,,I can understand the plot and context of ‘Othello’.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/othello/lessons/introduction-to-othello-and-plot-exploration
Introductions and conclusions in a 'Small Island' essay,English,Year 9,ks3,,I can use a three part structure to create an effective introduction and conclusion.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/small-island/lessons/introductions-and-conclusions-in-a-small-island-essay
Katherine Mansfield's 'The Fly' (1922): exploring character foils and symbolism,English,Year 9,ks3,,"I can explore Katherine Mansfield’s use of character foils and symbolism in her short story, 'The Fly'.",https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/a-world-at-war-short-stories/lessons/mansfields-methods-character-foils-and-symbolism
"Letter writing: planning, using Vera Brittain’s ‘Testament of Youth’ as stimulus",English,Year 9,ks3,,I can plan an imaginative letter which captures some common aspects of life on the home front of World War One.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/a-world-at-war-short-stories/lessons/letter-writing-planning-using-vera-brittains-testament-of-youth-as-stimulus
"Letter writing: planning, using Wilfred Owen’s 1917 letter as stimulus",English,Year 9,ks3,,I can plan an imaginative letter that recounts an experience in the trenches of World War One using Wilfred Owen’s 1917 letter to his mother as stimulus.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/a-world-at-war-short-stories/lessons/letter-writing-planning-using-wilfred-owens-letter-as-stimulus
Linking moments and quotations in 'Othello',English,Year 9,ks3,,I can support an argument with effective evidence.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/othello/lessons/linking-moments-and-quotations-in-othello
Persuasive writing: using credible and effective rhetorical devices,English,Year 9,ks3,,I can create credible and effective rhetorical devices.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/womens-rights-across-the-ages-non-fiction-reading-and-writing/lessons/using-rhetorical-devices-effectively-t1751
Planning a written response on human nature in Golding's 'Lord of the Flies',English,Year 9,ks3,,I can use single paragraph outlines to plan a response.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/lord-of-the-flies/lessons/planning-a-written-response-on-lord-of-the-flies
Planning an analytical response,English,Year 9,ks3,,I can effectively use a single paragraph outline to plan an analytical response.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/womens-rights-across-the-ages-non-fiction-reading-and-writing/lessons/planning-an-analytical-response
Planning and creating a slam poem,English,Year 9,ks3,,I can effectively plan and write a slam poem.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/creating-and-performing-slam-poetry/lessons/planning-and-creating-a-slam-poem
Planning and writing a 'Small Island' essay,English,Year 9,ks3,,"I can plan and write a developed, analytical response.",https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/small-island/lessons/planning-and-writing-a-small-island-essay
Planning fiction writing about a malevolent character,English,Year 9,ks3,,I can plan a piece of fiction writing using a success criteria.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/malevolent-characters-descriptive-and-narrative-writing/lessons/planning-fiction-writing-about-a-malevolent-character
Preparing and delivering a powerful speech,English,Year 9,ks3,,I can deliver a convincing persuasive speech.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/womens-rights-across-the-ages-non-fiction-reading-and-writing/lessons/delivering-powerful-speeches
Preparing to write a persuasive speech,English,Year 9,ks3,,I can create a plan that helps me to structure and prepare to write the first draft of a persuasive speech.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/womens-rights-across-the-ages-non-fiction-reading-and-writing/lessons/preparing-to-write-a-persuasive-speech
Re-drafting a persuasive speech,English,Year 9,ks3,,I can edit and revise the content of a persuasive speech to improve it.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/womens-rights-across-the-ages-non-fiction-reading-and-writing/lessons/re-drafting-a-persuasive-speech
"Reading 'Propping Up the Line', a short story about World War One by Ian Beck",English,Year 9,ks3,,"I can explain what happens in ‘Propping Up The Line’, including commenting on some of the choices Beck made.",https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/a-world-at-war-short-stories/lessons/reading-propping-up-the-line
"Reading Katherine Mansfield’s short story, ‘The Fly’ (1922)",English,Year 9,ks3,,I can explain what happens in Katherine Mansfield’s ‘The Fly’ including exploring some of its major themes.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/a-world-at-war-short-stories/lessons/reading-the-fly-by-katherine-mansfield
Reading and forming opinions on a 19th century text,English,Year 9,ks3,,I can decode a 19th century text and form my own opinions in a discussion.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/womens-rights-across-the-ages-non-fiction-reading-and-writing/lessons/decoding-a-text-about-travel
Refining and improving an essay on 'Small Island',English,Year 9,ks3,,I can create and use specific feedback to improve my essays.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/small-island/lessons/refining-and-improving-an-essay-on-small-island
Rufus Norris on directing and adapting 'Small Island',English,Year 9,ks3,,"I can understand and explain Rufus Norris’s ideas about directing and adapting 'Small Island', including how the play tackles social issues.",https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/small-island/lessons/rufus-norris-on-directing-and-adapting-small-island
Simon Armitage and the power of poetry,English,Year 9,ks3,,I can explore what a poem is and think about it as an art form.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/simon-armitage-writing-your-world/lessons/simon-armitage-and-the-power-of-poetry
Simon Armitage talks about 'I am very bothered' and 'My father thought it',English,Year 9,ks3,,I can listen and respond to Simon Armitage’s ‘I am very bothered’ and ‘My father thought it’.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/simon-armitage-writing-your-world/lessons/simon-armitage-talks-about-i-am-very-bothered-and-my-father-thought-it
Skim reading and close reading: 'Testament of Youth' by Vera Brittain,English,Year 9,ks3,,"I can show a thorough understanding of an extract from Vera Brittain’s ‘Testament of Youth’, a memoir which recounts experiences on the British Home Front during World War One.",https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/a-world-at-war-short-stories/lessons/skim-reading-and-close-reading-testament-of-youth-by-vera-brittain
Skim reading and close reading: Wilfred Owen’s 1917 letter to his mother,English,Year 9,ks3,,I can show a thorough understanding of a 1917 letter that Wilfred Owen sent to his mother from the trenches of World War One.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/a-world-at-war-short-stories/lessons/skim-reading-and-close-reading-wilfred-owens-letter-to-his-mother
"Symbolism and motif in Ian Beck's short story, ‘Propping Up The Line’",English,Year 9,ks3,,"I can explore Ian Beck’s use of symbolism and motif in his short story, 'Propping Up The Line'.",https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/a-world-at-war-short-stories/lessons/symbolism-and-motif-in-propping-up-the-line
The dehumanisation and death of Piggy in Golding's 'Lord of the Flies',English,Year 9,ks3,,I can explain the significance of Piggy's death in the novel.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/lord-of-the-flies/lessons/piggy-dehumanisation-and-death
"The presentation of trauma in Ian Beck's short story, 'Propping Up the Line'",English,Year 9,ks3,,I can explore Ian Beck’s presentation of the character of Alfred’s trauma in 'Propping Up The Line'.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/a-world-at-war-short-stories/lessons/exploring-the-impact-of-war-on-alfred-in-propping-up-the-line
Tracking characters and tension in 'Small Island',English,Year 9,ks3,,I can track character development across the play and consider how tension is created.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/small-island/lessons/tracking-characters-and-tension-in-small-island
Understanding ideas of Empire and colonialism in Naidu’s ‘The Gift of India’,English,Year 9,ks3,,I can explain how Naidu presents the experience of dying at war within the context of Empire and colonialism.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/a-world-at-war-poetry/lessons/understanding-the-gift-of-india
Understanding patriotism in Rupert Brooke’s ‘The Soldier’,English,Year 9,ks3,,I can explain how Rupert Brooke presents the experience of dying at war.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/a-world-at-war-poetry/lessons/understanding-the-soldier
Understanding questions and writing thesis statements on ‘Small Island’,English,Year 9,ks3,,I can understand the expectations of an essay question and write an effective thesis statement.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/small-island/lessons/understanding-questions-and-writing-thesis-statements
Understanding the concept of remembrance in John McCrae’s ‘In Flanders Fields’,English,Year 9,ks3,,I can explain how John McCrae presents the experience of dying at war.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/a-world-at-war-poetry/lessons/understanding-in-flanders-fields
Understanding what makes a persuasive speech,English,Year 9,ks3,,I can identify and explain what makes a powerful speech.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/womens-rights-across-the-ages-non-fiction-reading-and-writing/lessons/understanding-what-makes-a-persuasive-speech
Understanding why people write about war,English,Year 9,ks3,,"I can explain why people might choose to write about war, exploring the viewpoints of different writers who have chosen to write about war themselves.",https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/a-world-at-war-short-stories/lessons/understanding-why-people-write-about-war
Using context effectively to discuss ‘Othello’,English,Year 9,ks3,,I can integrate context skilfully into my written analysis on 'Othello'.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/othello/lessons/effective-use-of-context
Using figurative language effectively for character description,English,Year 9,ks3,,I can create effective similes and metaphors to describe a malevolent character.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/malevolent-characters-descriptive-and-narrative-writing/lessons/using-figurative-language-effectively-for-character-description
Using paragraphs effectively,English,Year 9,ks3,,I can use paragraphs accurately and effectively in my writing to reveal details about a character.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/malevolent-characters-descriptive-and-narrative-writing/lessons/using-paragraphs-effectively
Using sentence structure to create rhythm in writing about World War One,English,Year 9,ks3,,"I can explore how Ian Beck and Wilfred Owen use sentence structure to give their writing rhythm and, inspired by them, craft a creative paragraph with engaging rhythm.",https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/a-world-at-war-short-stories/lessons/creating-writing-that-has-rhythm
Using vocabulary effectively in fiction writing,English,Year 9,ks3,,I can carefully select verbs and adverbs to describe a malevolent character.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/malevolent-characters-descriptive-and-narrative-writing/lessons/using-vocabulary-effectively-in-fiction-writing
Varying sentences and using anecdotes to express a viewpoint,English,Year 9,ks3,,I can effectively express a viewpoint in an engaging and persuasive way.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/womens-rights-across-the-ages-non-fiction-reading-and-writing/lessons/expressing-a-viewpoint
Vivid descriptive writing using Ian Beck's ‘Propping Up The Line’ as stimulus,English,Year 9,ks3,,I can write a vivid description inspired by Ian Beck's 'Propping Up The Line' which captures some of Alfred’s experiences and memories of the front line.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/a-world-at-war-short-stories/lessons/vivid-descriptive-writing-using-propping-up-the-line-as-stimulus
Watching 'Small Island' Act 1 Scene 3 with Rufus Norris and Helen Edmundson,English,Year 9,ks3,,"I can consider how structure, pace, and transitions engage and energise the audience.",https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/small-island/lessons/watching-small-island-act-1-scene-3-with-rufus-norris-and-helen-edmundson
Watching 'Small Island' Act 2 Scenes 7-11 with Rufus Norris and Helen Edmundson,English,Year 9,ks3,,"I can explain how Rufus Norris and Helen Edmundson create an emotional impact in the ending of 'Small Island', and consider my own response to the play.",https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/small-island/lessons/watching-small-island-act-2-scenes-7-11-with-rufus-norris-and-helen-edmundson
Watching and discussing 'Small Island' Act 1 Scene 1 with director Rufus Norris,English,Year 9,ks3,,I can use Rufus Norris’s ideas to help me watch Act 1 Scene 1.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/small-island/lessons/watching-and-discussing-small-island-act-1-scene-1-with-director-rufus-norris
Watching and discussing 'Small Island' Act 1 Scene 2 with director Rufus Norris,English,Year 9,ks3,,I can use Rufus Norris’s ideas to explain how different stage techniques bring Act 1 Scene 2 of 'Small Island' to life.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/small-island/lessons/watching-and-discussing-small-island-act-1-scene-2-with-director-rufus-norris
Watching and discussing 'Small Island' Act 1 Scenes 4-8 with Rufus Norris,English,Year 9,ks3,,"I can use Rufus Norris’s comments to explore how contrast, character, and staging choices create meaning.",https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/small-island/lessons/watching-and-discussing-small-island-act-1-scenes-4-8-with-rufus-norris
Watching and discussing 'Small Island' Act 2 Scene 1 with Helen Edmundson,English,Year 9,ks3,,I can use Helen Edmundson's comments to explore the contrast between Act 1 and Act 2.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/small-island/lessons/watching-and-discussing-small-island-act-2-scene-1-with-helen-edmundson
Watching and discussing 'Small Island' Act 2 Scenes 2 to 6 with Rufus Norris,English,Year 9,ks3,,I can use Rufus Norris' comments to explore the contrast of Act 2 and the use of theatrical techniques.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/small-island/lessons/watching-and-discussing-small-island-act-2-scenes-2-to-6-with-rufus-norris
World War One: propaganda and trench warfare,English,Year 9,ks3,,"I can explain why propaganda about World War One was so effective, and understand the differences between this wartime propaganda and the realities of trench warfare.",https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/a-world-at-war-short-stories/lessons/world-war-one-propaganda-and-trench-warfare
Writing a comparative response on perspectives of war and sacrifice in WW1 poems,English,Year 9,ks3,,I can write a detailed comparative response to answer the question: ‘Compare how the concept of dying at war is presented in Naidu’s ‘The Gift of India’ and one other poem.’,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/a-world-at-war-poetry/lessons/writing-detailed-comparisons-about-two-poems
Writing a letter as a soldier in the trenches of World War One,English,Year 9,ks3,,"I can write a letter which recounts an imagined experience from the trenches of World War One, using Wilfred Owen’s 1917 letter to his mother as stimulus.",https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/a-world-at-war-short-stories/lessons/drafting-a-recount-letter-applying-wilfred-owens-structure-and-techniques
"Writing a letter from the British home front: tone, audience and purpose",English,Year 9,ks3,,"I can write a letter detailing an imagined experience of the British home front during World War One, showing a deep understanding of tone, audience and purpose.",https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/a-world-at-war-short-stories/lessons/drafting-a-letter-tone-audience-and-purpose
Writing a response on human nature in Golding's 'Lord of the Flies',English,Year 9,ks3,,I can write a clear analytical response about human nature in the novel.,https://www.thenational.academy/teachers/programmes/english-secondary-ks3/units/lord-of-the-flies/lessons/writing-a-response-to-lord-of-the-flies
