title,subject,year_group,key_stage,unit,learning_objective,oak_url
Describing the troll in 'The Three Billy Goats Gruff',English,Year 1,ks1,,I can write a sentence with an adjective to describe the troll in 'The Three Billy Goats Gruff'.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/the-three-billy-goats-gruff-reading-and-writing/lessons/describing-the-troll-in-the-three-billy-goats-gruff
Describing yourself,English,Year 1,ks1,,I can describe my own skills and personality in a sentence.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/a-superhero-like-you-reading-and-writing/lessons/describing-yourself
Description of the houses built in 'The Three Little Pigs',English,Year 1,ks1,,I can join two ideas together to describe the houses that the pigs built.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/the-three-little-pigs-reading-and-writing/lessons/description-of-the-houses-built-in-the-three-little-pigs
Designing a sandwich,English,Year 1,ks1,,I can design a sandwich with descriptive captions.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/following-and-writing-instructions-to-make-a-sandwich-reading-and-writing/lessons/designing-a-sandwich
Differences between fiction and non-fiction texts,English,Year 1,ks1,,I can compare fiction and non-fiction texts.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/looking-after-pets-reading-and-writing/lessons/differences-between-fiction-and-non-fiction-texts
"Exploring aspirations and the future: 'Ada Twist, Scientist'",English,Year 1,ks1,,I can use a character's experience to consider what aspiration means and write about my future.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/ada-twist-scientist-reading-and-writing/lessons/exploring-aspirations-and-the-future-ada-twist-scientist
Exploring illustrations in 'Lulu Gets a Cat',English,Year 1,ks1,,I can make predictions about a book using the front cover and illustrations.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/looking-after-pets-reading-and-writing/lessons/exploring-illustrations-in-lulu-gets-a-cat
Exploring the genre of fairy tales in 'Jack and the Beanstalk',English,Year 1,ks1,,I can name the features of a traditional tale.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/jack-and-the-beanstalk-reading-and-writing/lessons/exploring-the-genre-of-fairy-tales-in-jack-and-the-beanstalk
Exploring the idea of a superhero and predicting,English,Year 1,ks1,,I can make a prediction about a book using what I know about superheroes and the front cover.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/a-superhero-like-you-reading-and-writing/lessons/exploring-the-idea-of-a-superhero-and-predicting
Expressing an opinion about events and themes in ‘Jack and the Beanstalk’,English,Year 1,ks1,,I can express my opinion about a character's actions.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/jack-and-the-beanstalk-reading-and-writing/lessons/expressing-an-opinion-about-events-and-themes-in-jack-and-the-beanstalk
Features of instructions,English,Year 1,ks1,,I can name and understand some features of instructions.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/following-and-writing-instructions-to-make-a-sandwich-reading-and-writing/lessons/features-of-instructions
Following instructions to make a sandwich,English,Year 1,ks1,,I can follow instructions to make a sandwich.,https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/following-and-writing-instructions-to-make-a-sandwich-reading-and-writing/lessons/following-instructions-to-make-a-sandwich
"Formation of A, H, K and T",English,Year 1,ks1,,"I can form the capital letters A, H, K and T.",https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/capital-letters/lessons/formation-of-a-h-k-and-t
"Formation of B, D, P and R",English,Year 1,ks1,,"I can form the capital letters B, D, P and R.",https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/capital-letters/lessons/formation-of-b-d-p-and-r
"Formation of C, G, O and Q",English,Year 1,ks1,,"I can form the capital letters C, G, O and Q.",https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/capital-letters/lessons/formation-of-c-g-o-and-q
"Formation of I, E, F, and L",English,Year 1,ks1,,"I can form the capital letters I, E, F and L.",https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/capital-letters/lessons/formation-of-i-e-f-and-l
"Formation of M, N, W and V",English,Year 1,ks1,,"I can form the capital letters M, N, W and V.",https://www.thenational.academy/teachers/programmes/english-primary-ks1/units/capital-letters/lessons/formation-of-m-n-w-and-v
